Flight ID,Aircraft Type,Call Sign,Origin Airport Code,Destination Airport Code,Latitude,Longitude,Altitude,Speed,Heading,Time Stamp,CO2 Emissions,Fuel Consumption,Noise Levels,Weather Conditions,Flight Duration,Delay,Airline Name,Passenger Count,Cargo Weight,Country or Region,Flight Path,Airport Name,Aircraft Age,Fuel Efficiency,Sector Type,Airspace
FL000031,Boeing 777,CS2202,DEN,JFK,37.662549,-28.894259,32489,592,242,2023-09-17T02:18:57.971348,1.47,3903.16,90.85,Rainy,3.76,101,United Airlines,116,714.36,USA,WP909-WP516-WP833,Airport 23,25,0.93,International,North America
FL000032,Airbus A320,CS3894,LAX,SFO,-87.05921,-86.08558,36296,355,272,2023-10-16T02:41:38.011795,2.53,1088.43,68.44,Stormy,4.33,120,Alaska Airlines,142,1368.39,UK,WP861-WP445-WP757,Airport 64,5,0.96,International,Asia
FL000033,Airbus A320,CS1223,DEN,ATL,-80.694904,-55.205943,19624,586,274,2023-12-23T10:12:13.911979,4.96,1878.7,55.76,Rainy,5.7,9,United Airlines,257,1914.9,Mexico,WP419-WP240-WP206,Airport 29,8,0.6,International,Asia
FL000034,Boeing 737,CS1544,MIA,ATL,73.425497,36.035434,12520,392,331,2023-09-24T19:27:33.730934,1.2,4682.25,99,Clear,10.18,105,United Airlines,299,208.39,Germany,WP320-WP156-WP576,Airport 93,27,1.27,International,Africa
FL000035,Airbus A320,CS1738,DFW,SFO,83.40958,-95.051031,27665,366,212,2023-09-29T04:56:26.788119,0.57,1255.44,55.28,Cloudy,3.73,22,United Airlines,254,680.75,Germany,WP172-WP325-WP514,Airport 21,14,2,Domestic,Asia
FL000036,Boeing 777,CS9833,ATL,DEN,50.264142,107.399666,11804,591,256,2023-02-03T07:19:31.060891,1.02,2234.24,73.17,Snowy,8.84,54,Southwest Airlines,57,1956.62,USA,WP923-WP725-WP302,Airport 56,28,0.3,Domestic,Africa
FL000037,Boeing 737,CS8239,SEA,SFO,-44.692447,52.249871,13899,532,345,2023-08-07T07:25:44.746181,3.73,3295.71,63.59,Rainy,11.07,1,United Airlines,158,1059.37,Canada,WP241-WP424-WP795,Airport 26,13,0.32,Domestic,South America
FL000038,Airbus A320,CS1481,JFK,DFW,65.697733,145.230917,34603,450,136,2023-07-30T21:58:46.092587,3.46,1824.1,86.73,Snowy,11.88,6,Delta Air Lines,117,341.08,Canada,WP893-WP586-WP648,Airport 93,11,0.6,International,North America
FL000039,Boeing 737,CS2283,LAX,LAX,-86.13973,-8.103986,17316,425,95,2023-06-07T22:18:12.205003,2.82,4772.91,68.21,Rainy,5.96,118,American Airlines,189,149.36,USA,WP791-WP624-WP650,Airport 19,5,0.63,International,Asia
FL000040,Airbus A320,CS9317,DEN,DEN,22.639645,-85.429868,25335,430,77,2022-02-12T09:57:53.778596,2.42,1572.92,74.23,Cloudy,7.97,100,United Airlines,286,1755.77,UK,WP229-WP578-WP920,Airport 85,1,1.09,Domestic,North America
FL000041,Boeing 737,CS7232,DEN,MIA,-7.747841,-96.696164,2090,223,305,2023-08-19T04:43:46.873873,0.56,890.26,78.79,Clear,9.14,35,Alaska Airlines,179,1109.66,Mexico,WP803-WP796-WP415,Airport 60,27,0.93,International,Asia
FL000042,Boeing 777,CS5509,ORD,DFW,-21.680199,34.811774,5160,518,337,2023-06-03T03:44:42.906070,1.37,3945.4,84.82,Clear,9.41,112,United Airlines,232,466.59,Mexico,WP272-WP749-WP409,Airport 47,18,1.83,Domestic,Asia
FL000043,Airbus A320,CS6754,ATL,PHX,9.079499,170.165743,25439,281,241,2022-02-06T05:43:51.235682,2.89,772.76,89.37,Clear,5.77,103,United Airlines,250,232.3,Canada,WP348-WP395-WP783,Airport 90,18,0.35,International,Africa
FL000044,Airbus A320,CS2753,ORD,LAX,63.80599,88.191411,4913,514,201,2022-02-11T04:15:01.256306,3.33,912.87,75.39,Snowy,5.63,32,Southwest Airlines,84,830.68,Germany,WP388-WP706-WP177,Airport 73,11,0.76,International,Europe
FL000045,Boeing 777,CS7542,SFO,ORD,80.709883,-84.627118,14215,481,137,2023-02-07T21:04:42.755843,1.69,2694.01,75.93,Snowy,8.38,68,Alaska Airlines,149,1922.18,Germany,WP439-WP791-WP153,Airport 66,30,0.75,Domestic,Asia
FL000046,Airbus A320,CS5886,DEN,JFK,5.711119,-45.608912,25067,346,159,2023-01-20T11:26:46.085909,4.88,4375.99,59.83,Cloudy,8.78,78,Southwest Airlines,130,1583.62,USA,WP715-WP393-WP661,Airport 13,21,0.74,Domestic,North America
FL000047,Embraer 190,CS4772,SEA,MIA,72.61753,96.232164,33699,550,222,2023-06-06T02:36:51.066922,4.34,4761.74,97.75,Cloudy,6.15,106,United Airlines,95,71.75,Germany,WP721-WP469-WP314,Airport 44,14,1.95,International,North America
FL000048,Airbus A320,CS3495,ORD,LAX,-53.129774,-37.32441,30005,574,73,2023-02-03T20:27:42.390133,1.33,2414.54,68.56,Rainy,11.29,110,Southwest Airlines,109,840.04,USA,WP674-WP705-WP194,Airport 84,7,1.73,International,Africa
FL000049,Airbus A320,CS2208,DEN,DEN,-57.452952,65.272283,28864,345,208,2022-06-06T00:12:02.842487,2.51,2240.82,90.32,Snowy,4.22,70,Southwest Airlines,86,1740.48,Canada,WP273-WP134-WP217,Airport 77,3,1.97,International,Asia
FL000050,Airbus A320,CS2282,PHX,LAX,-56.115154,72.449102,18291,553,350,2023-02-19T09:40:27.240914,1.35,2631.92,97.81,Clear,5.06,52,Alaska Airlines,194,1771.87,Germany,WP797-WP709-WP590,Airport 25,29,0.55,Domestic,Europe
FL000051,Embraer 190,CS4997,MIA,JFK,-26.13337,-7.068983,18305,272,75,2023-11-09T16:22:33.199188,1.98,3809.54,90.61,Clear,1.21,8,Delta Air Lines,247,173.3,Mexico,WP432-WP671-WP788,Airport 59,10,1.45,Domestic,Africa
FL000052,Embraer 190,CS2208,DFW,LAX,87.301321,-66.210859,39157,292,34,2022-04-18T07:24:42.642585,4.71,1341.32,52.38,Snowy,2.31,22,United Airlines,65,146.19,Germany,WP480-WP340-WP520,Airport 3,16,1.96,Domestic,North America
FL000053,Boeing 737,CS7995,JFK,SEA,89.774852,22.599276,23352,204,34,2022-09-20T12:32:16.840741,1.85,1159.22,68.23,Cloudy,9.14,54,Alaska Airlines,196,1538.9,Mexico,WP329-WP916-WP916,Airport 44,3,1.9,Domestic,Europe
FL000054,Airbus A320,CS3467,JFK,DEN,84.87663,-113.045015,10517,382,309,2022-09-07T21:07:49.865083,1.28,4143.66,71.02,Snowy,7.54,56,Alaska Airlines,244,1436.4,UK,WP210-WP820-WP366,Airport 21,28,1.73,Domestic,Africa
FL000055,Airbus A320,CS5222,DEN,LAX,75.400216,-115.477856,22385,509,348,2023-09-14T00:00:17.380749,2.43,3502.5,75.03,Cloudy,10.69,59,American Airlines,50,46.05,UK,WP617-WP564-WP325,Airport 40,22,0.72,Domestic,Europe
FL000056,Airbus A320,CS3040,JFK,ORD,25.104358,-155.243761,15434,454,236,2022-08-06T14:40:43.433975,3.41,3167.15,77.78,Snowy,5.91,21,American Airlines,50,531.94,Canada,WP942-WP100-WP848,Airport 78,27,0.17,Domestic,Africa
FL000057,Boeing 777,CS3863,DEN,SEA,-15.251391,-88.9053,31600,372,324,2023-09-21T14:26:37.572227,3.79,1258.01,69.34,Snowy,11.72,59,Delta Air Lines,250,1574.58,Germany,WP842-WP409-WP192,Airport 83,20,0.59,Domestic,South America
FL000058,Boeing 777,CS1846,DFW,JFK,-28.852997,-26.005466,9325,282,269,2022-04-28T02:35:58.220261,2.98,1682.92,80.97,Snowy,9.57,120,Alaska Airlines,205,391.83,Mexico,WP941-WP779-WP316,Airport 99,8,0.55,International,Asia
FL000059,Boeing 777,CS7030,SEA,JFK,-47.763565,-125.168543,4531,334,44,2023-09-19T18:16:55.932908,3.73,1194.42,77.1,Clear,9.98,95,United Airlines,159,1873.99,USA,WP341-WP204-WP554,Airport 51,20,1.21,Domestic,South America
FL000060,Embraer 190,CS9417,LAX,ATL,-45.027299,1.861045,29020,454,276,2022-10-12T05:26:27.428137,3.4,587.35,77.08,Snowy,1.32,90,Alaska Airlines,189,980.34,Mexico,WP237-WP651-WP138,Airport 65,13,1.73,International,Africa
FL000061,Boeing 737,CS8000,SEA,SFO,1.439919,-128.422873,26655,272,358,2023-07-06T23:04:44.480104,4.69,2814.92,62.96,Stormy,8.7,74,American Airlines,297,1927.47,Mexico,WP613-WP792-WP989,Airport 57,14,1.67,Domestic,North America
FL000062,Boeing 777,CS6886,ORD,DFW,17.361558,140.833423,30476,343,304,2022-12-21T07:37:16.882901,1.59,2644.53,63.6,Cloudy,7.63,13,Southwest Airlines,207,476.34,Germany,WP939-WP703-WP913,Airport 81,8,1.18,International,Asia
FL000063,Boeing 777,CS3017,PHX,ATL,18.982725,22.012499,27707,311,107,2022-06-27T17:14:14.511608,2.25,2419.62,82.6,Cloudy,3,72,United Airlines,175,554.02,Canada,WP431-WP637-WP812,Airport 19,18,0.67,Domestic,North America
FL000064,Boeing 777,CS8948,DFW,ORD,3.05701,-72.292954,12675,551,183,2022-07-09T20:23:39.251146,3.38,518.23,87.47,Rainy,11.73,86,United Airlines,181,363.96,USA,WP404-WP799-WP653,Airport 52,7,0.17,Domestic,Europe
FL000065,Boeing 777,CS8510,ORD,DEN,16.877109,-130.457947,38148,329,193,2023-10-15T08:25:56.227451,2.84,1200.74,77.77,Clear,3.57,106,United Airlines,89,688.17,Mexico,WP363-WP887-WP888,Airport 71,4,0.28,Domestic,Asia
FL000066,Embraer 190,CS3357,SFO,JFK,3.971583,-100.695052,21275,237,356,2023-05-22T01:02:37.168722,4.79,4703.55,79.97,Rainy,4.38,11,Southwest Airlines,127,844.48,USA,WP821-WP451-WP537,Airport 76,12,0.28,International,Asia
FL000067,Embraer 190,CS8383,ATL,DFW,-10.665206,11.934126,35724,504,26,2023-04-02T06:45:11.381184,4.87,3971.03,91.08,Rainy,6.88,87,Delta Air Lines,202,1621.77,USA,WP816-WP173-WP932,Airport 15,21,1.89,Domestic,Africa
FL000068,Embraer 190,CS4960,PHX,SFO,-75.058676,88.985501,37015,499,93,2022-04-26T03:10:01.257870,3.26,3822.78,53.06,Cloudy,6.29,24,Alaska Airlines,67,343.46,Germany,WP351-WP739-WP384,Airport 86,7,1.18,International,North America
FL000069,Boeing 737,CS7459,DEN,PHX,-55.396146,-14.566609,31281,342,190,2023-11-05T04:15:53.826804,1.13,4137.7,90.63,Rainy,1.74,42,Delta Air Lines,198,1272.31,USA,WP339-WP692-WP518,Airport 89,15,1.36,International,South America
FL000070,Airbus A320,CS2648,SFO,ATL,-5.242901,-54.297196,20305,451,17,2022-10-25T10:47:26.628135,3.34,2306.89,94.23,Cloudy,1.7,43,United Airlines,50,1981.83,Germany,WP640-WP149-WP697,Airport 22,7,0.77,Domestic,Europe
FL000071,Embraer 190,CS5870,SEA,SFO,-84.72886,-134.189354,33162,379,27,2022-07-29T00:19:24.344711,0.61,2630.68,54.44,Snowy,6.87,17,Southwest Airlines,260,883.76,UK,WP829-WP459-WP450,Airport 76,4,1.19,Domestic,Asia
FL000072,Airbus A320,CS4946,DFW,PHX,36.172132,-76.853824,20576,462,52,2023-10-25T00:47:31.016461,2.84,2571.35,52.61,Stormy,2.55,29,Alaska Airlines,169,24.15,UK,WP353-WP425-WP409,Airport 17,26,1.6,Domestic,South America
FL000073,Boeing 777,CS3237,JFK,LAX,-28.643614,14.809417,24445,574,197,2023-03-01T23:22:05.927346,3.27,887.41,89.13,Rainy,11.03,52,American Airlines,213,89.11,Canada,WP511-WP728-WP732,Airport 29,4,0.66,International,Asia
FL000074,Boeing 737,CS2509,LAX,DEN,66.820638,-89.462692,5640,233,87,2023-12-15T15:12:09.023771,4.8,3716.17,88.19,Cloudy,4.24,113,United Airlines,55,1574.15,UK,WP527-WP983-WP488,Airport 1,14,1.32,Domestic,Europe
FL000075,Embraer 190,CS6476,MIA,PHX,19.612182,-0.946597,26031,562,134,2022-09-17T17:29:34.063880,3.42,1342.56,53.29,Clear,3.45,91,Delta Air Lines,61,1791.22,Germany,WP772-WP529-WP822,Airport 26,22,0.31,International,North America
FL000076,Boeing 777,CS6257,PHX,DEN,-65.635477,116.057408,11118,596,172,2022-10-31T10:49:39.645426,3.19,1769.5,91.08,Cloudy,11.24,79,Southwest Airlines,68,1717.07,Germany,WP405-WP720-WP672,Airport 46,10,0.59,Domestic,North America
FL000077,Boeing 737,CS3218,JFK,DEN,4.256366,64.407911,22864,491,155,2022-09-29T08:50:19.461502,2.98,3456.77,85.26,Snowy,10.39,15,Southwest Airlines,135,956.81,UK,WP373-WP506-WP446,Airport 57,20,0.13,Domestic,South America
FL000078,Boeing 737,CS9467,JFK,SEA,50.911912,110.760532,7105,325,210,2022-12-20T07:31:24.253610,2.88,1147.04,60.79,Stormy,9.47,23,Southwest Airlines,238,966.05,Canada,WP106-WP727-WP803,Airport 60,20,1.99,International,Europe
FL000079,Boeing 777,CS2444,MIA,JFK,-28.433973,-113.451735,9764,330,114,2022-12-09T11:31:39.036485,4.94,806.28,87.84,Clear,11.25,27,Alaska Airlines,269,348.53,Germany,WP234-WP413-WP931,Airport 12,3,1.77,Domestic,Asia
FL000080,Airbus A320,CS1082,LAX,DFW,89.175407,176.349414,10590,383,114,2023-09-28T03:14:40.336495,4.86,4709.51,97.71,Cloudy,11.76,56,Delta Air Lines,214,377.24,UK,WP812-WP771-WP727,Airport 87,12,1.91,Domestic,Asia
FL000081,Boeing 737,CS4638,ORD,MIA,-37.547174,-9.264481,35421,466,294,2022-05-01T03:41:30.000193,2.25,4470.84,82.16,Rainy,4.7,42,Alaska Airlines,163,1845.06,Germany,WP718-WP518-WP312,Airport 24,14,1.04,Domestic,North America
FL000082,Boeing 777,CS5033,ATL,MIA,43.754912,-22.987289,32206,253,105,2022-06-21T21:18:34.627341,2.74,2257.54,56.43,Snowy,10.27,114,Alaska Airlines,253,876.36,Canada,WP383-WP714-WP879,Airport 44,30,0.38,International,South America
FL000083,Boeing 737,CS2451,MIA,ORD,-24.614393,17.6939,38850,409,316,2023-10-14T16:00:54.288065,2.57,528.17,58.99,Cloudy,7.87,117,United Airlines,224,334.87,Mexico,WP627-WP255-WP112,Airport 68,15,1.03,Domestic,Asia
FL000084,Embraer 190,CS7146,SEA,LAX,76.370756,104.586598,19905,304,315,2022-09-11T02:16:50.482808,3.16,3652.34,63.64,Stormy,6.72,74,American Airlines,177,383.95,Germany,WP927-WP227-WP558,Airport 35,13,1.63,International,North America
FL000085,Boeing 737,CS8641,LAX,LAX,48.944519,-46.361025,25739,375,47,2022-09-20T04:03:08.789773,3.54,960.19,76.87,Rainy,5.96,115,United Airlines,226,1602.53,Canada,WP503-WP390-WP730,Airport 59,20,0.48,Domestic,North America
FL000086,Boeing 777,CS1788,ATL,SFO,-1.901375,173.544335,27050,425,357,2023-04-17T12:26:38.305595,1.26,1762.54,68.61,Snowy,4.7,72,Southwest Airlines,50,993.36,Germany,WP204-WP539-WP629,Airport 14,12,0.82,International,Asia
FL000087,Boeing 777,CS4144,SEA,PHX,-59.9335,-48.873923,6780,241,265,2023-03-09T21:52:38.384305,2.69,3851.8,80.52,Snowy,4.06,51,United Airlines,170,1695.12,Canada,WP876-WP879-WP348,Airport 36,8,0.16,International,Asia
FL000088,Embraer 190,CS6789,SFO,SEA,54.047455,135.073832,11345,218,344,2022-08-29T18:21:13.138925,4.7,4706.49,87.84,Snowy,4.42,43,Southwest Airlines,75,133.85,Germany,WP996-WP646-WP392,Airport 67,17,1.6,Domestic,Africa
FL000089,Boeing 737,CS3633,ATL,JFK,-31.471812,40.418133,28447,462,229,2022-08-27T07:11:46.112096,4.21,4426.12,60.34,Snowy,1.39,64,American Airlines,220,1631.5,Germany,WP829-WP518-WP274,Airport 1,12,1.85,Domestic,Europe
FL000090,Boeing 737,CS4872,MIA,DFW,76.632201,50.470134,28161,432,290,2022-05-23T03:32:00.538014,3.33,4169.08,85.59,Clear,9.63,40,Delta Air Lines,275,467.33,Mexico,WP438-WP621-WP774,Airport 9,22,0.7,Domestic,Africa
FL000091,Airbus A320,CS2008,SFO,DFW,-15.036958,-96.274631,33462,489,227,2023-07-09T15:16:40.743115,3.11,4520.58,78.04,Clear,4.99,99,Alaska Airlines,170,1300.71,Canada,WP453-WP887-WP712,Airport 40,12,1.32,International,Asia
FL000092,Boeing 737,CS7647,SEA,ORD,45.90871,-171.140043,27040,242,218,2022-09-03T10:27:02.443084,0.86,2153.26,99.58,Cloudy,8.02,45,Southwest Airlines,282,351.1,Germany,WP419-WP893-WP867,Airport 39,18,1.7,Domestic,South America
FL000093,Airbus A320,CS7742,SEA,PHX,57.744058,25.312119,10065,335,287,2023-01-03T16:23:48.236332,1.94,4048.85,60.76,Stormy,10.25,109,American Airlines,96,986.02,Mexico,WP391-WP963-WP656,Airport 47,20,0.67,International,South America
FL000094,Boeing 777,CS5063,ORD,LAX,-6.291392,103.722676,39077,252,28,2022-08-11T21:59:27.142787,3.28,2651.35,52.14,Stormy,6.82,34,Delta Air Lines,137,28.55,Germany,WP274-WP646-WP988,Airport 22,24,0.35,Domestic,Asia
FL000095,Embraer 190,CS4966,MIA,DEN,29.619698,-2.465196,3762,434,307,2023-01-12T23:25:20.213673,0.55,4672.8,61.65,Clear,1.88,12,Delta Air Lines,117,911.36,Mexico,WP675-WP636-WP623,Airport 14,4,0.22,Domestic,North America
FL000096,Embraer 190,CS2440,JFK,SEA,86.577667,140.100118,7776,485,82,2023-11-01T03:59:14.861620,0.62,2696.81,68.94,Cloudy,9.53,30,Southwest Airlines,282,948.51,Canada,WP973-WP260-WP155,Airport 31,25,1.55,International,South America
FL000097,Boeing 777,CS1374,ATL,MIA,34.96722,-116.210651,11134,350,48,2022-12-11T18:52:06.878499,1.1,3273.12,87.77,Stormy,9.13,81,Southwest Airlines,82,1933.97,Mexico,WP426-WP424-WP938,Airport 87,5,0.99,International,North America
FL000098,Embraer 190,CS6533,ORD,ATL,60.303969,119.697939,29830,209,347,2022-03-23T18:43:37.538586,4.02,1686.24,68.93,Clear,3.63,105,Southwest Airlines,55,242.01,USA,WP610-WP272-WP979,Airport 71,10,1.53,Domestic,North America
FL000099,Embraer 190,CS6411,DEN,DFW,-71.833374,178.814096,12691,506,64,2023-07-31T14:14:42.227697,4.05,4483.03,80.64,Cloudy,6.38,16,Southwest Airlines,85,852.14,USA,WP331-WP376-WP201,Airport 78,28,1.78,International,Europe
FL000100,Embraer 190,CS2126,DEN,ORD,-17.131158,-67.589303,20155,534,188,2022-08-02T17:30:03.884343,2.02,3448.19,81.95,Cloudy,7.17,43,American Airlines,279,915.87,UK,WP780-WP683-WP713,Airport 78,14,1.3,Domestic,Africa
FL000101,Airbus A320,CS5767,PHX,MIA,2.017468,27.066963,13615,377,200,2022-05-07T11:24:54.012469,2.14,3286.37,71.55,Snowy,3.41,91,Alaska Airlines,266,146,UK,WP771-WP186-WP311,Airport 3,1,0.83,International,Asia
FL000102,Boeing 777,CS4160,ATL,MIA,-73.457386,152.141898,38019,386,34,2022-09-02T09:48:34.459396,4.72,4464.89,85.36,Cloudy,5.27,101,Southwest Airlines,257,961.46,USA,WP839-WP401-WP657,Airport 31,8,1.75,International,North America
FL000103,Boeing 737,CS9734,MIA,ATL,30.146529,119.229532,11702,367,202,2022-10-19T02:23:18.243697,0.78,3780.79,88.98,Rainy,7.24,76,Southwest Airlines,136,853.81,UK,WP351-WP521-WP803,Airport 16,12,1.59,International,North America
